code,title,division,level
00 00 00,Procurement and Contracting Requirements,00,1
00 01 01,Project Title Page,00,3
00 01 05,Certifications Page,00,3
00 01 07,Seals Page,00,3
00 01 10,Table of Contents,00,3
00 01 15,List of Drawing Sheets,00,3
00 01 20,List of Schedules,00,3
00 10 00,Solicitation,00,2
00 11 00,Advertisements and Invitations,00,2
00 11 13,Advertisement for Bids,00,3
00 11 16,Invitation to Bid,00,3
00 11 19,Request for Proposal,00,3
00 11 53,Request for Qualifications,00,3
00 20 00,Instructions for Procurement,00,2
00 21 00,Instructions,00,2
00 21 13,Instructions to Bidders,00,3
00 21 16,Instructions to Proposers,00,3
00 22 00,Supplementary Instructions,00,2
00 22 13,Supplementary Instructions to Bidders,00,3
00 22 16,Supplementary Instructions to Proposers,00,3
00 23 00,Procurement Definitions,00,2
00 24 00,Procurement Scopes,00,2
00 24 13,Scopes of Bids,00,3
00 24 16,Scopes of Proposals,00,3
00 25 00,Procurement Meetings,00,2
00 25 13,Pre-Bid Meetings,00,3
00 25 16,Pre-Proposal Meetings,00,3
00 26 00,Procurement Substitution Procedures,00,2
00 30 00,Available Information,00,2
00 31 00,Available Project Information,00,2
00 31 13,Preliminary Schedules,00,3
00 31 16,Project Budget Information,00,3
00 31 19,Existing Condition Information,00,3
00 31 21,Survey Information,00,3
00 31 24,Environmental Assessment Information,00,3
00 31 25,Existing Material Information,00,3
00 31 26,Existing Hazardous Material Information,00,3
00 31 31,Geophysical Data,00,3
00 31 32,Geotechnical Data,00,3
00 31 43,Permit Application,00,3
00 40 00,Procurement Forms and Supplements,00,2
00 41 00,Bid Forms,00,2
00 41 13,Bid Form – Stipulated Sum (Single-Prime Contract),00,3
00 41 16,Bid Form – Stipulated Sum (Multiple-Prime Contract),00,3
00 41 23,Bid Form – Construction Management (Single-Prime Contract),00,3
00 41 26,Bid Form – Construction Management (Multiple-Prime Contract),00,3
00 41 33,Bid Form – Cost Plus-Fee (Single-Prime Contract),00,3
00 41 36,Bid Form – Cost-Plus-Fee (Multiple-Prime Contract),00,3
00 41 43,Bid Form – Unit Price (Single-Prime Contract),00,3
00 41 46,Bid Form – Unit Price (Multiple-Prime Contract),00,3
00 41 53,Bid Form – Design/Build (Single-Prime Contract),00,3
00 41 56,Bid Form – Design/Build (Multiple-Prime Contract),00,3
00 41 63,Bid Form – Purchase Contract,00,3
00 42 00,Proposal Forms,00,2
00 42 13,Proposal Form – Stipulated Sum (Single-Prime Contract),00,3
00 42 16,Proposal Form – Stipulated Sum (Multiple-Prime Contract),00,3
00 42 23,Proposal Form – Construction Management (Single-Prime Contract),00,3
00 42 26,Proposal Form – Construction Management (Multiple-Prime Contract),00,3
00 42 33,Proposal Form – Cost-Plus-Fee (Single-Prime Contract),00,3
00 42 36,Proposal Form – Cost-Plus-Fee (Multiple-Prime Contract),00,3
00 42 43,Proposal Form – Unit Price (Single-Prime Contract),00,3
00 42 46,Proposal Form – Unit Price (Multiple-Prime Contract),00,3
00 42 53,Proposal Form – Design/Build (Single-Prime Contract),00,3
00 42 56,Proposal Form – Design/Build (Multiple-Prime Contract),00,3
